method	count	S_acc	D_acc	I_acc	All_acc	SER_MAE	SER_MSE
LoRA	4510	0.8674	0.8933	0.9060	0.7641	0.0776	0.0403
NLI	4510	0.9268	0.8543	0.9523	0.8051	0.0495	0.0213
ScoreRouting	4510	0.9333	0.9124	0.9632	0.8614	0.0350	0.0133
LR-Routing	4510	0.9286	0.9251	0.9641	0.8681	0.0363	0.0160
