method	count	S_acc	D_acc	I_acc	all_acc	SER_MAE
aligner	1000	0.9980	0.6310	1.0000	0.6310	0.0608
lora	1000	0.8090	0.8890	0.9980	0.7140	0.0443
nli	1000	0.9980	0.7760	1.0000	0.7760	0.0331
