source	method	count	S_acc	D_acc	I_acc	all_acc	SER_MAE
llm	aligner	500	0.9960	0.7840	1.0000	0.7840	0.0304
llm	lora	500	0.9180	0.9040	1.0000	0.8280	0.0225
llm	nli	500	0.9960	0.8120	1.0000	0.8120	0.0273
seq2seq	aligner	500	1.0000	0.4780	1.0000	0.4780	0.0912
seq2seq	lora	500	0.7000	0.8740	0.9960	0.6000	0.0662
seq2seq	nli	500	1.0000	0.7400	1.0000	0.7400	0.0389
